name,category,model,sku,description,price,attribute:care instruction,attribute:work,option:color,attribute:occasion,attribute:ship within,attribute:style,attribute:fabric,quantity,reorder_level,image,additional_image,shipping_weight,shipping,status,subtract,measure_group_id,filter_group_id,downloads,discount_price,priority,customer_group_id,manufacturer_name,manufacture_catalog_no,manufacture_product_code,manufacture_catalog_name
Off White Color Pure Cotton Fabric Saware Kameez. ,n1Test123///n1Test4///n1Test5:::m1123///m14,M101,S101,Off White Color Pure Cotton Fabric Kurti. This amazing kurti has Off White & Grey color floral print patch work at neck line & sleeves and Grey & Off White color printed border work at lower part. Woven 3/4th sleeves Round Neck Knee-Long Kurti.,1000,Dry Clean Only,Mirror,"Pink,Red,Yellow",Party,2,Patiala Style,Art Silk,100,1,http://images10.voonik.com/70925/green-printed-anarkali-knee-length-cotton-kurti-with-3-slash-4th-sleeves-product.jpg?1390744492,"http://images10.voonik.com/70925/green-printed-anarkali-knee-length-cotton-kurti-with-3-slash-4th-sleeves-product.jpg?1390744492,http://cdn1.ninecolours.com/image/cache/data/khadi-cotton-casual-wear-kurti-in-orange-colour-kr0630024-A-1200x1799.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZS-CAnDv7CjIWYom2vCgqfUyBR8O00QI_KfCogxSepoaIg2jl7g,http://static4.jassets.com/p/Shakumbhari-White-Printed-Kurtis-2475-422613-1-pdp_slider_m_lr.jpg,https://d2150gk23iimbk.cloudfront.net/images/thumimg/fashionplanetkurtis4_1_6x_885.JPG",500,1,1,1,2,9,http://images10.voonik.com/70925/green-printed-anarkali-knee-length-cotton-kurti-with-3-slash-4th-sleeves-product.jpg?1390744492,5,1,18,www,1,101,MCN1
Stylish Georgette Patch Border Work Designer Saree,Sarees,M102,S102,"Sensible colors and excellent designs and romantic moods are reflected with an alluring style. Real beauty comes out from your dressing style with this navy blue georgette designer saree. You will be able to see some fascinating patterns performed with embroidered and patch border work. Comes with matching blouse. (Slight variation in color, fabric & work is possible. Model images are only representative.) ",1500,Machine wash cold,Embroidered,"Blue,Red,Beige",Festival,1,Patiala Style,Georgette,50,1,http://www.sareesaga.com/image/large/stylish-georgette-patch-border-work-designer-saree-29822.jpg,"http://www.sareesaga.com/image/cache/data/stylish-georgette-patch-border-work-designer-saree-29822-0-110x148.jpg,http://www.sareesaga.com/image/large/stylish-georgette-patch-border-work-designer-saree-29822.jpg",400,1,1,1,1,10,http://www.sareesaga.com/image/large/stylish-georgette-patch-border-work-designer-saree-29822.jpg,10,2,18,aaaaaaa,2,102,MCN2
Haute Georgette Blue Resham Work Designer Suit,Salwar Kameez,M103,S103,"Stand out from rest with this blue georgette designer suit. The charming embroidered and resham work a intensive element of this dress. Comes with matching bottom and dupatta. (Slight variation in color, fabric & work is possible. Model images are only representative.)",2200,Do not bleach,Resham Work,"Red,Green",Festival,2,Salwar suit,Georgette,75,1,http://www.sareesaga.com/image/large/haute-georgette-blue-resham-work-designer-suit-29832.jpg,"http://www.sareesaga.com/image/large/haute-georgette-blue-resham-work-designer-suit-29832.jpg,http://www.sareesaga.com/image/cache/data/haute-georgette-blue-resham-work-designer-suit-29832-0-110x148.jpg",352,1,1,1,2,11,http://www.sareesaga.com/image/large/haute-georgette-blue-resham-work-designer-suit-29832.jpg,15,3,18,nhytf,3,103,MCN3
Radiant Resham Work Beige A Line Lehenga Choli,Lehenga Choli,M104,S104,"This beige net a line lehenga choli is adding the wonderful glamorous showing the feel of cute and graceful. The enticing embroidered, patch border and resham work a intensive attribute of this dress. Comes with matching choli and dupatta. (Slight variation in color, fabric & work is possible. Model images are only representative.",1200,Tumble dry low,Patch Border Work,"Beige,Off White,Black",Party,2,A - Line Lehenga,Net,80,1,http://www.sareesaga.com/image/large/radiant-resham-work-beige-a-line-lehenga-choli-29843.jpg,"http://www.sareesaga.com/image/large/radiant-resham-work-beige-a-line-lehenga-choli-29843.jpg,http://www.sareesaga.com/image/cache/data/radiant-resham-work-beige-a-line-lehenga-choli-29843-0-110x148.jpg",400,1,1,1,3,12,http://www.sareesaga.com/image/large/radiant-resham-work-beige-a-line-lehenga-choli-29843.jpg,10,4,18,Indrajit1,4,104,MCN4
Dazzling Embroidered Work Anarkali Salwar Kameez,Salwar Kameez,M105,S105,"Add a adolescent burst of colour with your wardrobe with this red net anarkali salwar kameez. The embroidered and patch border work appears chic and excellent for party and wedding. Comes with matching bottom and dupatta. (Slight variation in color, fabric & work is possible. Model images are only representative.",1700,Dry Clean Only,Patch Border Work,"Red,Grey,Gold,Purple",Wedding,1,  Anarkali Suit,Net,68,1,http://www.sareesaga.com/image/large/dazzling-embroidered-work-anarkali-salwar-kameez-29463.jpg,"http://www.sareesaga.com/image/large/dazzling-embroidered-work-anarkali-salwar-kameez-29463.jpg,http://www.sareesaga.com/image/cache/data/dazzling-embroidered-work-anarkali-salwar-kameez-29463-0-110x148.jpg",550,1,1,1,2,11,http://www.sareesaga.com/image/large/dazzling-embroidered-work-anarkali-salwar-kameez-29463.jpg,10,5,18,Manufacturer,5,105,MCN5
Intricate Weight Less Patch Border Work Designer Saree,Sarees,M106,S106,"Make the heads flip after you dress up with this lovely orange weight less designer saree. The appealing embroidered and patch border work all through the attire is awe inspiring. Comes with matching blouse. (Slight variation in color, fabric & work is possible. Model images are only representative.",2400,Machine wash cold,  Embroidered,"Orange,Pink,Grey,Gold",Festival,4,Designer Saree,Weight Less,55,1,http://www.ashika.com/images/Products/Large1/Ashika-Designer-Tussar-Silk-Saree-2769_1.jpg,"http://www.ashika.com/images/Products/Large1/Ashika-Designer-Partywear-Saree-3021_1.jpg,http://www.ashika.com/images/Products/Large1/Maya-Viscose-half-and-half-party-wear-saree-7117_1.jpg,http://www.ashika.com/images/Products/Large1/Ashika-Designer-Saree-Red-color-and-Chiffon-Materi-1155_1.jpg,http://www.ashika.com/images/Products/Large1/Ashika-Designer-Tussar-Silk-Saree-2769_1.jpg",250,1,1,1,1,12,http://www.ashika.com/images/Products/Large1/Ashika-Designer-Tussar-Silk-Saree-2769_1.jpg,10,6,18,Indrajit,6,106,MCN6
Intrinsic Patch Border Work Art Silk Designer Suit,Salwar Kameez,M107,S107,"Appear stunningly appealing in such a green art silk designer suit. You are able to see some fascinating patterns performed with embroidered and patch border work. Comes with matching bottom and dupatta. (Slight variation in color, fabric & work is possible. Model images are only representative.",2300,Tumble dry low,Patch Border Work,"Green,Red,Blue","Party,Festival",2,Salwar suit,Art Silk,45,1,http://www.ashika.com/images/Products/Large1/Ashika-Designer-Embroidered-Cotton-Dress-Material-TANVI-B_1.jpg,"http://www.ashika.com/images/Products/Large1/Ashika-Designer-Embroidered-Cotton-Dress-Material-TANVI-B_1.jpg,http://www.ashika.com/images/Products/Large1/Ashika-Designer-Embroidered-Cotton-Dress-Material-SAKSHI-A_1.jpg,http://www.ashika.com//images/Products/Large1/Ashika-Designer-Embroidered-Cotton-Dress-Material-JEENAL-B_1.jpg",150,1,1,1,2,10,http://www.ashika.com/images/Products/Large1/Ashika-Designer-Embroidered-Cotton-Dress-Material-TANVI-B_1.jpg,10,7,18,www,7,107,MCN7
Imperial Net Patch Border Work A Line Lehenga Choli,Lehenga Choli,M108,S108,"Elegance and honourable come together in this beautiful drape. Looking amazing with attachment of cream net a line lehenga choli. This attire is nicely designed with embroidered, patch border and resham work. Comes with matching choli and dupatta. (Slight variation in color, fabric & work is possible. Model images are only representative.",2100,Mild Iron,"Embroidered,Patch Border Work,Resham Work","Cream,Grey,Brown,Yellow",Wedding,3,A - Line Lehenga,Georgette,65,1,"http://www.ashika.com/images/Products/Large1/Ashika-Designer-Oxford-Blue,-Pink-color-and-Velvet-409_1.jpg","http://www.ashika.com/images/Products/Large1/Ashika-Designer-Oxford-Blue,-Pink-color-and-Velvet-409_1.jpg,http://www.ashika.com/images/Products/Large1/Ashika-Designer-Oxford-Blue,-Orange-color-and-Velv-410_1.jpg,http://www.ashika.com/images/Products/Large1/Ashika-Designer-Navy-Blue,-Sky-Blue-color-and-Velv-407_1.jpg,http://www.ashika.com/images/Products/Large1/Ashika-Designer-Brown,-Golden-color-and-Velvet,-Ne-406_1.jpg",275,1,1,1,3,9,"http://www.ashika.com/images/Products/Large1/Ashika-Designer-Oxford-Blue,-Pink-color-and-Velvet-409_1.jpg",10,8,18,aaaaaaa,8,108,MCN8
Congenial Hot Pink Jacquard Designer Saree,Sarees,M109,S109,"Grab the second look in this elegant attire for this season. Real beauty comes out from your dressing style with this hot pink faux chiffon and jacquard designer saree. The ethnic embroidered and patch border work on the attire adds a sign of beauty statement to your look. Comes with matching blouse. (Slight variation in color, fabric & work is possible. Model images are only representative.",2350,Tumble dry low,"Embroidered Patch,Border Work","Pink,Yellow,Green,Red","  Party,Festival",2,Designer Saree,"Faux Chiffon,Jacquard",35,1,http://img1.craftsvilla.com/orig/C/V/CV-MSARE38154087750--saree_sansar-Craftsvilla_1.jpg,"http://img1.craftsvilla.com/orig/C/V/CV-MSARE38154087750--saree_sansar-Craftsvilla_1.jpg,http://img1.craftsvilla.com/thumb/166x166/C/V/CV-MSARE38154087750--saree_sansar-Craftsvilla_1.jpg,http://img1.craftsvilla.com/thumb/166x166/C/V/CV-MSARE38154087750--saree_sansar-Craftsvilla_2.jpg,http://img1.craftsvilla.com/thumb/166x166/C/V/CV-MSARE38154087750--saree_sansar-Craftsvilla_3.jpg",300,1,1,1,1,12,http://img1.craftsvilla.com/orig/C/V/CV-MSARE38154087750--saree_sansar-Craftsvilla_1.jpg,20,9,18,nhytf,9,109,MCN9
Grandiose Embroidered Work Designer A Line Lehenga Choli,Lehenga Choli,M110,S110,"We are to breathe life into your aspirations and to make a mark in the world of style. We unfurl our the intricacy and exclusivity of our creations highlighted in this lovely multi colour art silk and net designer a line lehenga choli. It has been beautifully designed with embroidered, kasab, patch border and zari work. Comes with matching choli and dupatta.",1299,Do not bleach,"Embroidered,Kasab work,Patch Border Work,Zari Work","Multicolor,Red,Yellow,Pink","Bridal,Reception,Ceremonial",1,A - Line Lehenga,"Art Silk,Net",85,1,http://img1.craftsvilla.com/orig/C/V/CV-MTHAN85824555570--Thankar-Craftsvilla_1.jpg,"http://img1.craftsvilla.com/orig/C/V/CV-MTHAN85824555570--Thankar-Craftsvilla_1.jpg,http://img1.craftsvilla.com/thumb/166x166/t/d/tdl108-jd04_2_1.jpg,http://img1.craftsvilla.com/thumb/166x166/t/d/tdl108-jd04-1_1.jpg",320,1,1,1,3,11,http://img1.craftsvilla.com/orig/C/V/CV-MTHAN85824555570--Thankar-Craftsvilla_1.jpg,10,10,18,Indrajit1,10,110,MCN10
Hypnotizing Georgette Designer Saree,Salwar Kameez,M111,S111,"Fashion and style always depends on good color and fantastic combination of shades and so we create best shades to enhance your beauty and personality. Looking amazing with attachment of beige and orange georgette designer saree. The embroidered and patch border work personifies the entire appearance. Comes with matching blouse. (Slight variation in color, fabric & work is possible. Model images are only representative.",1499,Machine wash cold,Embroidered,"Blue,Red,Beige",Festival,2,Designer Saree,Georgette,35,1,http://www.sareesaga.com/image/large/hypnotizing-georgette-designer-saree-29764.jpg,"http://www.sareesaga.com/image/cache/data/intricate-weight-less-patch-border-work-designer-saree-26532-133x177.jpg,http://www.sareesaga.com/image/cache/data/imperial-net-patch-border-work-a-line-lehenga-choli-29844-133x177.jpg",320,1,1,1,2,11,http://www.sareesaga.com/image/large/hypnotizing-georgette-designer-saree-29764.jpg,10,11,18,Manufacturer,11,111,MCN11
Aspiring Red Embroidered Work Jacquard Designer Saree,Sarees,M112,S112,"An outstanding red jacquard designer saree will make you appear too stylish and graceful. The wonderful dress creates a dramatic canvas with astounding embroidered and patch border work. Comes with matching blouse. (Slight variation in color, fabric & work is possible. Model images are only representative.",3300,Tumble dry low,Patch Border Work,"Red,Green",Party,1,Patiala Style,Net,36,1,http://www.sareesaga.com/image/large/aspiring-red-embroidered-work-jacquard-designer-saree-29602.jpg,"http://www.sareesaga.com/image/large/aspiring-red-embroidered-work-jacquard-designer-saree-29602.jpg,http://www.sareesaga.com/image/large/hypnotic-jacquard-embroidered-work-designer-saree-29603.jpg",245,1,1,1,1,9,http://www.sareesaga.com/image/large/aspiring-red-embroidered-work-jacquard-designer-saree-29602.jpg,10,12,18,Indrajit,12,112,MCN12
Talismanic Net Beige A Line Lehenga Choli,Lehenga Choli,M113,S113,"Be an angel and create and ascertain a smashing effect on anybody by wearing this beige net a line lehenga choli. The ethnic embroidered and patch border work within the apparel adds a sign of beauty statement with a look. Comes with matching choli and dupatta. (Slight variation in color, fabric & work is possible. Model images are only representative.",2500,Tumble dry low,Resham Work,"Orange,Pink,Grey,Gold",Party,3,Salwar suit,Weight Less,55,1,http://www.sareesaga.com/image/large/talismanic-net-beige-a-line-lehenga-choli-29320.jpg,"http://www.sareesaga.com/image/large/talismanic-net-beige-a-line-lehenga-choli-29320.jpg,http://www.sareesaga.com/image/cache/data/imperial-net-patch-border-work-a-line-lehenga-choli-29844-133x177.jpg,http://www.sareesaga.com/image/cache/data/grandiose-embroidered-work-designer-a-line-lehenga-choli-28380-133x177.jpg",135,1,1,1,3,9,http://www.sareesaga.com/image/large/talismanic-net-beige-a-line-lehenga-choli-29320.jpg,10,13,18,www,13,113,MCN13
Hypnotic Jacquard Embroidered Work Designer Saree,Sarees,M114,S114,"Fashion and style always depends on good color and fantastic combination of shades and so we create best shades to enhance your beauty and personality. Looking amazing with attachment of beige and orange georgette designer saree. The embroidered and patch border work personifies the entire appearance. Comes with matching blouse. (Slight variation in color, fabric & work is possible. Model images are only representative.",3200,Do not bleach,Embroidered,"Green,Red,Blue",Wedding,2,Designer Saree,"Art Silk,Net",90,1,http://www.sareesaga.com/image/large/dazzling-multi-colour-lehenga-saree-29604.jpg,http://www.sareesaga.com/image/large/catchy-embroidered-work-net-lehenga-saree-29607.jpg,250,1,1,1,1,11,http://www.sareesaga.com/image/large/dazzling-multi-colour-lehenga-saree-29604.jpg,100,14,18,aaaaaaa,14,114,MCN14
